W(m),S(m),B(m),E(GPa),f'c(MPa),a0(m),ac(m),?c,?,F(?c),V(?c),"N(?c, ?)",Pmax (N)Avg,KsIC (MPa),CTODC(mm)
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0379,0.1183,0.2172,0.9976,1.3901,0.8795,12516.6667,1.0094,0.0153
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0382,0.1194,0.2153,0.9971,1.3906,0.8804,12516.6667,1.0133,0.0155
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0385,0.1204,0.2135,0.9967,1.3911,0.8814,12516.6667,1.0172,0.0156
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0388,0.1214,0.2117,0.9963,1.3916,0.8824,12516.6667,1.0210,0.0158
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0392,0.1224,0.2099,0.9958,1.3921,0.8833,12516.6667,1.0249,0.0159
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0395,0.1235,0.2082,0.9954,1.3927,0.8842,12516.6667,1.0288,0.0161
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0398,0.1245,0.2064,0.9950,1.3932,0.8851,12516.6667,1.0326,0.0162
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0402,0.1255,0.2048,0.9946,1.3938,0.8860,12516.6667,1.0364,0.0164
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0405,0.1265,0.2031,0.9942,1.3944,0.8868,12516.6667,1.0402,0.0166
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0408,0.1276,0.2015,0.9938,1.3950,0.8877,12516.6667,1.0440,0.0167
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0412,0.4115,0.1215,1.1998,2.2406,0.9147,1839.4219,0.4761,0.0082
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0415,0.4148,0.1205,1.2061,2.2617,0.9152,1839.4219,0.4805,0.0084
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0418,0.4181,0.1196,1.2126,2.2831,0.9156,1839.4219,0.4850,0.0085
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0421,0.4214,0.1187,1.2191,2.3050,0.9161,1839.4219,0.4895,0.0087
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0425,0.4246,0.1177,1.2258,2.3272,0.9165,1839.4219,0.4941,0.0088
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0428,0.4279,0.1168,1.2326,2.3499,0.9169,1839.4219,0.4988,0.0090
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0431,0.4312,0.1160,1.2395,2.3730,0.9174,1839.4219,0.5035,0.0092
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0435,0.4345,0.1151,1.2465,2.3965,0.9178,1839.4219,0.5083,0.0093
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0438,0.4378,0.1142,1.2537,2.4205,0.9182,1839.4219,0.5131,0.0095
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0441,0.4411,0.1134,1.2610,2.4449,0.9186,1839.4219,0.5181,0.0097
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0444,0.4444,0.1125,1.2684,2.4698,0.9190,1840.4219,0.5233,0.0099
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0448,0.4476,0.1117,1.2760,2.4951,0.9194,1841.4219,0.5287,0.0100
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0451,0.4509,0.1109,1.2836,2.5210,0.9198,1842.4219,0.5341,0.0102
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0454,0.4542,0.1101,1.2915,2.5473,0.9202,1843.4219,0.5396,0.0104
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0458,0.4575,0.1093,1.2994,2.5742,0.9206,1844.4219,0.5452,0.0106
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0461,0.4608,0.1085,1.3075,2.6015,0.9209,1845.4219,0.5508,0.0108
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0464,0.4641,0.1077,1.3158,2.6294,0.9213,1846.4219,0.5566,0.0110
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0467,0.4674,0.1070,1.3242,2.6578,0.9217,1847.4219,0.5624,0.0112
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0471,0.4706,0.1062,1.3327,2.6868,0.9220,1848.4219,0.5684,0.0114
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0474,0.4739,0.1055,1.3414,2.7164,0.9224,1849.4219,0.5744,0.0117
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0477,0.4772,0.1048,1.3503,2.7465,0.9227,1850.4219,0.5805,0.0119
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0481,0.4805,0.1041,1.3593,2.7772,0.9231,1851.4219,0.5867,0.0121
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0484,0.4838,0.1034,1.3685,2.8085,0.9234,1852.4219,0.5930,0.0123
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0487,0.4871,0.1027,1.3778,2.8405,0.9237,1853.4219,0.5994,0.0126
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0490,0.4904,0.1020,1.3873,2.8731,0.9240,1854.4219,0.6059,0.0128
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0494,0.4936,0.1013,1.3970,2.9063,0.9244,1855.4219,0.6125,0.0131
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0497,0.4969,0.1006,1.4069,2.9402,0.9247,1856.4219,0.6192,0.0133
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0500,0.5002,0.1000,1.4169,2.9748,0.9250,1857.4219,0.6260,0.0136
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0504,0.5035,0.0993,1.4271,3.0101,0.9253,1858.4219,0.6329,0.0138
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0507,0.5068,0.0987,1.4375,3.0461,0.9256,1859.4219,0.6399,0.0141
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0510,0.5101,0.0980,1.4481,3.0829,0.9259,1860.4219,0.6471,0.0144
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0513,0.5134,0.0974,1.4589,3.1204,0.9262,1861.4219,0.6544,0.0147
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0517,0.5166,0.0968,1.4699,3.1587,0.9265,1862.4219,0.6617,0.0150
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0520,0.5199,0.0962,1.4811,3.1978,0.9268,1863.4219,0.6693,0.0152
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0523,0.5232,0.0956,1.4925,3.2377,0.9271,1864.4219,0.6769,0.0155
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0527,0.5265,0.0950,1.5041,3.2785,0.9274,1865.4219,0.6847,0.0159
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0530,0.5298,0.0944,1.5159,3.3201,0.9276,1866.4219,0.6926,0.0162
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0533,0.5331,0.0938,1.5280,3.3626,0.9279,1867.4219,0.7006,0.0165
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0536,0.5364,0.0932,1.5402,3.4060,0.9282,1868.4219,0.7088,0.0168
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0540,0.5396,0.0927,1.5527,3.4504,0.9285,1869.4219,0.7171,0.0172
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0543,0.5429,0.0921,1.5655,3.4957,0.9287,1870.4219,0.7256,0.0175
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0546,0.5462,0.0915,1.5785,3.5420,0.9290,1871.4219,0.7342,0.0179
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0550,0.5495,0.0910,1.5917,3.5893,0.9292,1872.4219,0.7430,0.0182
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0553,0.5528,0.0904,1.6052,3.6377,0.9295,1873.4219,0.7519,0.0186
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0556,0.5561,0.0899,1.6189,3.6872,0.9297,1874.4219,0.7610,0.0190
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0559,0.5594,0.0894,1.6330,3.7377,0.9300,1875.4219,0.7703,0.0194
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0563,0.5626,0.0889,1.6473,3.7895,0.9302,1876.4219,0.7797,0.0198
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0566,0.5659,0.0883,1.6618,3.8424,0.9305,1877.4219,0.7893,0.0202
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0569,0.5692,0.0878,1.6767,3.8965,0.9307,1878.4219,0.7991,0.0206
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0573,0.5725,0.0873,1.6918,3.9518,0.9310,1879.4219,0.8091,0.0210
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0576,0.5758,0.0868,1.7073,4.0085,0.9312,1880.4219,0.8193,0.0215
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0579,0.5791,0.0863,1.7231,4.0664,0.9314,1881.4219,0.8296,0.0219
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0582,0.5824,0.0859,1.7392,4.1258,0.9317,1882.4219,0.8402,0.0224
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0586,0.5857,0.0854,1.7556,4.1865,0.9319,1883.4219,0.8510,0.0228
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0589,0.5889,0.0849,1.7724,4.2488,0.9321,1884.4219,0.8620,0.0233
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0592,0.5922,0.0844,1.7895,4.3125,0.9323,1885.4219,0.8732,0.0238
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0596,0.5955,0.0840,1.8069,4.3777,0.9325,1886.4219,0.8846,0.0244
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0599,0.5988,0.0835,1.8248,4.4446,0.9328,1887.4219,0.8963,0.0249
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0602,0.6021,0.0830,1.8430,4.5131,0.9330,1888.4219,0.9082,0.0254
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0605,0.6054,0.0826,1.8616,4.5834,0.9332,1889.4219,0.9203,0.0260
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0609,0.6087,0.0821,1.8806,4.6554,0.9334,1890.4219,0.9327,0.0265
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0612,0.6119,0.0817,1.9000,4.7292,0.9336,1891.4219,0.9454,0.0271
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0615,0.6152,0.0813,1.9198,4.8049,0.9338,1892.4219,0.9583,0.0277
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0619,0.6185,0.0808,1.9401,4.8826,0.9340,1893.4219,0.9715,0.0284
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0622,0.6218,0.0804,1.9608,4.9623,0.9342,1894.4219,0.9850,0.0290
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0625,0.6251,0.0800,1.9819,5.0440,0.9344,1895.4219,0.9988,0.0297
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0628,0.6284,0.0796,2.0036,5.1280,0.9346,1896.4219,1.0129,0.0303
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0632,0.6317,0.0792,2.0257,5.2142,0.9348,1897.4219,1.0273,0.0310
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0635,0.6349,0.0787,2.0483,5.3027,0.9350,1898.4219,1.0421,0.0317
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0638,0.6382,0.0783,2.0715,5.3936,0.9352,1899.4219,1.0571,0.0325
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0642,0.6415,0.0779,2.0952,5.4870,0.9354,1900.4219,1.0725,0.0332
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0645,0.6448,0.0775,2.1195,5.5830,0.9356,1901.4219,1.0883,0.0340
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0648,0.6481,0.0772,2.1443,5.6817,0.9357,1902.4219,1.1044,0.0348
 0.10 ,0.4, 0.10 , 45.2 , 65.1 ,0.0050,0.0651,0.6514,0.0768,2.1697,5.7832,0.9359,1903.4219,1.1209,0.0356
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0156,0.3076,0.9259,1.0519,1.7420,0.2354,583.2167,0.3157,0.0012
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0163,0.3201,0.8896,1.0649,1.7876,0.2867,583.2167,0.3261,0.0016
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0169,0.3326,0.8561,1.0792,1.8367,0.3268,583.2167,0.3368,0.0020
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0175,0.3452,0.8250,1.0947,1.8895,0.3598,583.2167,0.3481,0.0023
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0182,0.3577,0.7961,1.1116,1.9462,0.3878,583.2167,0.3598,0.0027
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0188,0.3703,0.7691,1.1297,2.0071,0.4120,583.2167,0.3720,0.0030
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0194,0.3828,0.7439,1.1493,2.0726,0.4333,583.2167,0.3848,0.0034
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0201,0.3954,0.7203,1.1704,2.1427,0.4522,583.2167,0.3983,0.0038
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0207,0.4079,0.6981,1.1930,2.2180,0.4692,583.2167,0.4124,0.0042
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0214,0.4204,0.6773,1.2173,2.2988,0.4846,583.2167,0.4272,0.0046
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0220,0.4330,0.6577,1.2433,2.3856,0.4985,583.2167,0.4427,0.0051
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0226,0.4455,0.6392,1.2711,2.4787,0.5113,583.2167,0.4591,0.0056
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0233,0.4581,0.6217,1.3008,2.5789,0.5230,583.2167,0.4765,0.0061
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0239,0.4706,0.6051,1.3327,2.6865,0.5339,583.2167,0.4948,0.0067
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0245,0.4832,0.5894,1.3667,2.8025,0.5439,583.2167,0.5141,0.0073
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0252,0.4957,0.5745,1.4032,2.9274,0.5532,583.2167,0.5346,0.0079
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0258,0.5082,0.5603,1.4422,3.0623,0.5619,583.2167,0.5564,0.0087
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0265,0.5208,0.5468,1.4840,3.2081,0.5701,583.2167,0.5796,0.0094
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0271,0.5333,0.5340,1.5289,3.3659,0.5777,583.2167,0.6042,0.0103
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0277,0.5459,0.5217,1.5771,3.5370,0.5848,583.2167,0.6306,0.0112
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0284,0.5584,0.5100,1.6289,3.7230,0.5915,583.2167,0.6587,0.0122
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0290,0.5710,0.4988,1.6846,3.9255,0.5979,583.2167,0.6889,0.0133
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0296,0.5835,0.4881,1.7448,4.1466,0.6039,583.2167,0.7213,0.0145
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0303,0.5960,0.4778,1.8098,4.3884,0.6096,583.2167,0.7561,0.0158
 0.05 ,0.203, 0.05 , 27.8 , 42.2 ,0.0145,0.0309,0.6086,0.4679,1.8802,4.6538,0.6149,583.2167,0.7938,0.0172
 0.10 ,0.25, 0.10 ,35.78,57.14,0.0050,0.0063,0.0633,0.7904,1.0367,1.3829,0.4593,2710.0000,1.1260,0.0310
 0.10 ,0.25, 0.10 ,35.78,57.14,0.0040,0.0065,0.0655,0.6110,1.0345,1.3825,0.6248,2620.0000,1.1290,0.0300
 0.10 ,0.25, 0.10 ,35.78,57.14,0.0040,0.0060,0.0599,0.6673,1.0400,1.3836,0.5791,1980.0000,1.0920,0.0183
 0.10 ,0.25, 0.10 ,35.78,57.14,0.0090,0.0374,0.3736,0.2409,1.1349,2.0242,0.8339,1980.0000,1.0800,0.0186
 0.10 ,0.25, 0.10 ,35.78,57.14,0.0100,0.0340,0.3397,0.2944,1.0878,1.8660,0.8009,1840.0000,1.0830,0.0178
 0.10 ,0.25, 0.10 ,35.78,57.14,0.0160,0.0246,0.2458,0.6508,1.0050,1.5635,0.5508,1140.0000,0.0916,0.0081
 0.10 ,0.25, 0.10 ,35.78,57.14,0.0150,0.0167,0.1668,0.8993,0.9856,1.4286,0.3011,1420.0000,0.0090,0.0080
 0.10 ,0.5, 0.15 ,35.78,57.14,0.0090,0.0296,0.2963,0.3038,1.0412,1.7039,0.8009,4530.0000,1.3480,0.0490
 0.10 ,0.5, 0.15 ,35.78,57.14,0.0100,0.0242,0.2421,0.4130,1.0031,1.5549,0.7343,4100.0000,1.3490,0.0485
 0.10 ,0.5, 0.15 ,35.78,57.14,0.0180,0.0375,0.3752,0.4797,1.1373,2.0324,0.6580,3790.0000,1.1740,0.0350
 0.10 ,0.5, 0.15 ,35.78,57.14,0.0190,0.0276,0.2761,0.6881,1.0245,1.6421,0.5110,3630.0000,1.1730,0.0345
 0.10 ,0.5, 0.15 ,35.78,57.14,0.0280,0.0387,0.3870,0.7235,1.1562,2.0955,0.4514,2580.0000,0.9840,0.0149
0.1,1,0.25,35.78,57.14,0.0190,0.0348,0.3479,0.5462,1.0982,1.9012,0.6122,7270.0000,1.4670,0.1026
0.1,1,0.25,35.78,57.14,0.0190,0.0571,0.5712,0.3327,1.6856,3.9290,0.7346,7320.0000,1.4610,0.1000
0.1,1,0.25,35.78,57.14,0.0190,0.0214,0.2136,0.8896,0.9915,1.4969,0.3070,6990.0000,1.4560,0.0980
0.1,1,0.25,35.78,57.14,0.0390,0.0547,0.5468,0.7133,1.5806,3.5497,0.4181,6010.0000,1.2240,0.0601
